categoria,classificacao,groupId,max_similaridade,nomes,numero,pdfId_a,pdfId_b,tipo
,,,0.33,ele e a rosa de sarom | servo do senhor eu sou,159,,,numero_nomes_distintos
,,,0.25,"em obediencia, servi ao senhor (i sam. 17.47) | pai celeste | se andarmos na luz",16,,,numero_nomes_distintos
,,,0.64,eu sou do meu amado | eu sou do meu amado e ele me tem afeicao | existem segredos na tua palavra,160,,,numero_nomes_distintos
,,,0.47,era uma oliveira | tu es pra mim um vaso escolhido,161,,,numero_nomes_distintos
,,,0.39,andai na minha presenca | grandioso para mim,162,,,numero_nomes_distintos
,,,0.30,da-me um coracao cheio do teu amor | tenho uma pedra viva,163,,,numero_nomes_distintos
,,,0.26,da-me um coracao humilde e reto | e bastante para mim a tua graca,164,,,numero_nomes_distintos
,,,0.26,maravilhosa graca | quero ser santo para o senhor,165,,,numero_nomes_distintos
,,,0.34,amo ao meu senhor | daniel na cova dos leoes,167,,,numero_nomes_distintos
,,,0.34,"jesus chama os seus ministros | tu es fiel, senhor",168,,,numero_nomes_distintos
,,,0.19,como a flor do campo | sete cartas,169,,,numero_nomes_distintos
,,,0.23,em tua presenca entramos | quando falo com deus,17,,,numero_nomes_distintos
,,,0.67,eu sou tao feliz | eu sou tao feliz com o meu jesus | nos somos a carta de cristo,170,,,numero_nomes_distintos
,,,0.29,o amor de jesus e grande | sou o santo,171,,,numero_nomes_distintos
,,,0.16,"quatro coisas tao pequeninas | senhor, te amo, te amo",172,,,numero_nomes_distintos
,,,0.35,ouco o clamor do bom pastor | quando jesus um dia,173,,,numero_nomes_distintos
,,,0.49,a minha heranca e o senhor | a tua palavra e semente,174,,,numero_nomes_distintos
,,,0.27,"fala ao meu coracao, jesus | sempre vou lembrar o que fizeste por mim",177,,,numero_nomes_distintos
,,,0.28,disse jesus aos judeus (eu trabalho tambem) | o deus a quem servimos,178,,,numero_nomes_distintos
,,,0.22,orar faz bem | pela fe eu posso contemplar jesus,179,,,numero_nomes_distintos
,,,0.34,buscai ao senhor | firme estarei e confiarei | prostrado estou diante de ti,18,,,numero_nomes_distintos
,,,0.22,encontrei o grande amor | quero ser fiel (jesus esta vivo),180,,,numero_nomes_distintos
,,,0.33,como e bom servir ao senhor | quero viver para sempre com jesus,182,,,numero_nomes_distintos
,,,0.32,"a minha alegria | um novo ceu, uma nova terra se fara",183,,,numero_nomes_distintos
,,,0.31,no expresso viajamos | redentor onipotente,184,,,numero_nomes_distintos
,,,0.26,"ha uma linda morada | jesus, senhor, me chego a ti",185,,,numero_nomes_distintos
,,,0.14,nossas vidas sao mudadas | para quem iremos nos,186,,,numero_nomes_distintos
,,,0.19,"jerusalem anseio ver | venho, senhor, minha vida oferecer",188,,,numero_nomes_distintos
,,,0.76,"dependo de ti | dependo de ti, senhor | um dia a igreja subira",189,,,numero_nomes_distintos
,,,0.25,forte deus | quando davi ao senhor orava | teu povo clama,19,,,numero_nomes_distintos
,,,0.09,"igreja, corpo de cristo | todo o meu ser te ama",190,,,numero_nomes_distintos
,,,0.15,a noiva amada do cordeiro | eu quero sentir,191,,,numero_nomes_distintos
,,,0.40,"jesus, jesus, eu te amo | vou pra jerusalem",192,,,numero_nomes_distintos
,,,0.41,as muitas aguas nao poderiam apagar | ha uma igreja que aguarda o senhor,193,,,numero_nomes_distintos
,,,0.20,"na nova jerusalem | quero andar em teu caminho, senhor",194,,,numero_nomes_distintos
,,,0.41,"em breve estaremos na gloria | grande amor, o grande amor",195,,,numero_nomes_distintos
,,,0.36,jesus nos prometeu | o grande amor do meu senhor,196,,,numero_nomes_distintos
,,,0.76,"hoje quero somente agradecer | hoje quero somente agradecer somente agradecer | maranata! vem, senhor jesus",197,,,numero_nomes_distintos
,,,0.15,ele e a minha alegria | o dia esta chegando,198,,,numero_nomes_distintos
,,,0.33,"aquele que ha de vir, vira (viveremos pela fe) | o sangue de jesus tem poder para salvar | pai, estou a te clamar",2,,,numero_nomes_distintos
,,,0.35,jesus no ceu me encontrara (honra e gloria ao cordeiro) | o teu pecado tu queres deixar? | quando oro ao senhor,20,,,numero_nomes_distintos
,,,0.24,eu sirvo um deus | vou para o meu lar,200,,,numero_nomes_distintos
,,,0.67,seu corpo cansado | seu corpo cansado pelas caminhadas | sobre as nuvens jesus vem,201,,,numero_nomes_distintos
,,,0.39,a raabe veio a ordem | ha uma fonte aberta no calvario,202,,,numero_nomes_distintos
,,,0.40,jesus ia subindo o monte | o fio da escarlata e o misterio,203,,,numero_nomes_distintos
,,,0.22,marchai! marchai! | morri na cruz por ti,204,,,numero_nomes_distintos
,,,0.17,a minha alma espera | jesus ia seguindo,205,,,numero_nomes_distintos
